Change Date,Old,New,New Company Name
2021-08-31,CBLI,STAB,Statera Biopharma Inc
2021-09-02,RICOU,KAL,Kalera Public Ltd Co.
2021-09-02,SPNV,OPAD,Offerpad Solutions Inc
2021-09-02,CMII,SLGC,Somalogic Inc
2021-09-03,GNPK,RDW,Redwire Corp
2021-09-03,CHAQ,RCOR,Renovacor Inc
2021-09-07,CENH,ARQQ,Arqit Quantum Inc
2021-09-09,CATB,ATXS,Astria Therapeutics Inc
2021-09-10,SFTW,BKSY,Blacksky Technology Inc
2021-09-10,BLUW,CRXTQ,Clarus Therapeutics Holdings Inc
2021-09-10,BLUWW,CRXWQ,Clarus Therapeutics Holdings Inc
2021-09-10,SOAC,TMC,Tmc The Metals Co Inc
2021-09-14,HVBT,HIVE,Hive Blockchain Technologies Ltd.
2021-09-15,QELL,LILM,Lilium Nv
2021-09-16,RICE,LFG,Archaea Energy Inc
2021-09-17,ACIC,ACHR,Archer Aviation Inc
2021-09-17,SRNG,DNA,Ginkgo Bioworks Holdings Inc
2021-09-20,HCHC,VATE,Innovate Corp
2021-09-20,DEH,RBOT,Vicarious Surgical Inc
2021-09-20,SWAGU,NOGN,Nogin Inc
2021-09-21,PACE,NRDY,Nerdy Inc
2021-09-22,AZRX,FWBI,First Wave Biopharma Inc
2021-09-23,FUSE,ML,Moneylion Inc
2021-09-24,CHWAU,PET,Wag! Group Co.
2021-09-27,AMHC,JSPR,Jasper Therapeutics Inc
2021-09-27,ROT,STRC,Sarcos Technology & Robotics Corp
2021-09-28,GLEEU,GSD,Global System Dynamics Inc
2021-09-29,ARHH,IONM,Assure Holdings Corp
2021-09-29,CAHC,LMDX,Lumiradx Ltd.
2021-09-30,WPG,WPGGQ,Washington Prime Group Inc
2021-09-30,PTK,VLN,Valens Semiconductor Ltd.
2021-09-30,SPFR,VLD,Velo3d Inc
2021-09-30,GLEO,SHPW,Shapeways Holdings Inc
2021-09-30,LATN,PROC,Procaps Group SA
2021-09-30,STPC,BHIL,Benson Hill Inc
2021-09-30,MAGS,SNT,Senstar Technologies Ltd.
2021-10-01,DMYI,IONQ,Ionq Inc
2021-10-01,CTAC,KORE,Kore Group Holdings Inc
2021-10-01,HJLI,NVNO,Envveno Medical Corp
2021-10-01,MAAC,ROIV,Roivant Sciences Ltd.
2021-10-01,FI,XPRO,Expro Group Holdings Nv
2021-10-04,CREE,WOLF,Wolfspeed Inc
2021-10-04,COG,CTRA,Coterra Energy Inc
2021-10-04,KCAC,WBX,Wallbox Nv
2021-10-05,RBC,RRX,Regal Rexnord Corp
2021-10-05,RXN,ZWS,Zurn Elkay Water Solutions Corp
2021-10-05,FEYE,MNDT,Mandiant Inc
2021-10-06,LIVX,LVO,Liveone Inc
2021-10-07,LSAQ,SNCE,Science 37 Holdings Inc
2021-10-08,ITAC,ARBE,Arbe Robotics Ltd.
2021-10-08,SCON,CLRD,Clearday Inc
2021-10-08,JCOM,ZD,Ziff Davis Inc
2021-10-11,STWO,GWH,Ess Tech Inc
2021-10-12,IARE,IVT,Inventrust Properties Corp
2021-10-13,KBSF,JXJT,Jx Luxventure Ltd.
2021-10-18,VIH,BKKT,Bakkt Holdings Inc
2021-10-18,MRAC,ENJYQ,Enjoy Technology Inc
2021-10-18,PVAC,ROCC,Ranger Oil Corp
2021-10-18,TYHT,SISI,Shineco Inc
2021-10-19,RVACU,WEST,Westrock Co.ffee Co
2021-10-19,HZAC,SEAT,Vivid Seats Inc
2021-10-20,LEGO,ASTL,Algoma Steel Group Inc
2021-10-20,LOKB,NVTS,Navitas Semiconductor Corp
2021-10-21,GSAH,MIR,Mirion Technologies Inc
2021-10-21,BOWX,WE,Wework Inc
2021-10-22,KURI,BBLN,Babylon Holdings Ltd.
2021-10-25,SGAM,RDBX,Redbox Entertainment Inc
2021-10-25,BCYP,SABS,Sab Biotherapeutics Inc
2021-10-29,MCAD,BTTX,Better Therapeutics Inc
2021-10-29,BXS,CADE,Cadence Bank
2021-10-29,TMTS,NN,Nextnav Inc
2021-10-29,APOP,QNRX,Quoin Pharmaceuticals Ltd.
2021-11-01,MLHR,MLKN,Millerknoll Inc
